,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
10,,,,,,,,,Cincinnati,,,Pete Thomas,Assistant Coach / Quarterbacks
0,,,,,,,,,Cincinnati,,,Mark Speir,Chief of Staff
1,,,,,,,,,Cincinnati,,,John Widecan,Associate AD/Football Operations
2,,,,,,,,,Cincinnati,,,Sherry Murray,Associate to the Head Football Coach
3,,,,,,,,,Cincinnati,,,Mitch Marotti,Operations & Video Assistant
4,,,,,,,,,Cincinnati,,,Zach Grant,General Manager
5,,,,,,,,,Cincinnati,,,Caroline Tart,Director of Recruiting
6,,,,,,,,,Cincinnati,,,Jack Griffith,Director of Player Personnel
7,,,,,,,,,Cincinnati,,,Ashley Hecimovich,Director of On-Campus Recruiting
8,,,,,,,,,Cincinnati,,,Cass Simmons,Director of Recruiting Strategy
9,,,,,,,,,Cincinnati,,,Carter Wilson,Director of Scouting
10,,,,,,,,,Cincinnati,,,Chris Canada,Graduate Assistant - Offense
11,,,,,,,,,Cincinnati,,,Adam Niemeyer,Director of Football Video
12,,,,,,,,,Cincinnati,,,Dalvin Jones,Director/Football Equipment
13,,,,,,,,,Cincinnati,,,Jason Achauer,Assistant Equipment Manager
14,,,,,,,,,Cincinnati,,,Niko Palazeti,Director of Football Sports Performance
15,,,,,,,,,Cincinnati,,,Christopher Friend,Associate Director of Football Sports Performance
16,,,,,,,,,Cincinnati,,,Brandon Garcia,Assistant Director of Football Sports Performance
17,,,,,,,,,Cincinnati,,,Scott Ethington,Assistant Football Sports Performance Coach
18,,,,,,,,,Cincinnati,,,Micaela Serrano,Associate Director of Performance Nutrition - Football Dietitian
19,,,,,,,,,Cincinnati,,,Seth Price,Quality Control - Offense
20,,,,,,,,,Cincinnati,,,Larry Dace,Graduate Assistant - Offense
21,,,,,,,,,Cincinnati,,,Malik Davis,Graduate Assistant - Defense
22,,,,,,,,,Cincinnati,,,Grant Gourley,Graduate Assistant - Defense
23,,,,,,,,,Cincinnati,,,Vijay Stingley,Quality Control - Offense
24,,,,,,,,,Cincinnati,,,Jacob Brandon,Quality Control - Defense
25,,,,,,,,,Cincinnati,,,Tim Conner,Quality Control - Special Teams
26,,,,,,,,,Cincinnati,,,Wes Fleming,Quality Control - Defense
27,,,,,,,,,Cincinnati,,,Luke Mullett,Special Assistant to the Head Coach
28,,,,,,,,,Cincinnati,,,Clay Colvin,Director of Creative Media - Football
29,,,,,,,,,Cincinnati,,,Robert Nunn,Quality Control - Defense
