,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown (Prev School),Current School Name,Previous School,Image,Title
68,,79.0,Ondre Toland,OL,6-2,310.0,Jr.,"New Rochelle, N.Y. / East Hartford",Albany,Monroe College,,
69,,80.0,Kristen McAdams,WR,6-1,218.0,Fr.,"Philadelphia, Pa. / Imhotep Institute",Albany,,,
70,,82.0,Jake Lezzer,WR,5-11,198.0,Fr.,"Clearfield, Pa. / The Hun School",Albany,,,
71,,83.0,Dan Whaley,WR,6-2,200.0,So.,"Lansdowne, Pa. / Haverford School",Albany,LaSalle,,
72,,84.0,Carter Moses,TE,6-5,225.0,Fr.,"Wilmington, N.C. / Hoggard",Albany,,,
73,,85.0,Haydon Broockmann,TE,6-2,237.0,So.,"Stuyvesant, N.Y. / Ichabod Crane",Albany,,,
74,,86.0,Dylan Walker,TE,6-3,250.0,Fr.,"Douglassville, Pa. / Pope John Paul II",Albany,Colorado St.,,
75,,87.0,Ian Renninger,TE,6-5,254.0,Jr.,"Pottsville, Pa. / Pottsville",Albany,,,
76,,88.0,Chad Parker,TE,6-3,248.0,Sr.,"Victor, N.Y. / Victor",Albany,UNLV/Dodge City CC,,
77,,89.0,Tairi Ketner,TE,6-6,250.0,Jr.,"Philadelphia, Pa. / Woodstock Academy",Albany,,,
78,,90.0,King Tshiama,DL,6-1,216.0,Fr.,"Gaithersburg, Md. / Quince-Orchard",Albany,,,
79,,91.0,Ronnell McCorn,DL,6-0,222.0,So.,"Brunswick, Md. / Our Lady of Good Counsel",Albany,,,
80,,93.0,Elijah Hills,DL,6-1,275.0,So.,"Rockaway, N.J. / Delbarton School",Albany,,,
81,,94.0,Ghassan Chehade,DL,6-5,260.0,Fr.,"Latham, N.Y. / Shaker",Albany,,,
82,,97.0,Matthew Obiagu,DL,6-4,230.0,Fr.,"Camden, Del. / Caesar Rodney",Albany,,,
83,,98.0,Jack Mottola,LB,6-1,231.0,Fr.,"Coster, N.J. / Northern Valley Regional",Albany,,,
84,,99.0,AJ Beatty,DL,6-4,287.0,So.,"Pittsburgh, Pa. / Central Catholic",Albany,UNC Chapel Hill,,
0,,,Greg Gattuso,,,,,,Albany,,,Head Coach
1,,,Jared Ambrose,,,,,,Albany,,,Associate Head Coach / Offensive Coordinator / Quarterbacks Coach
2,,,Bill Nesselt,,,,,,Albany,,,Defensive Coordinator / Linebackers Coach
3,,,Joe Bernard,,,,,,Albany,,,Special Teams Coordinator / Defensive Line Coach
4,,,Will Fiacchi,,,,,,Albany,,,Tight Ends Coach / Passing Game Coordinator / Recruiting Coordinator
5,,,Jordan Orlovsky,,,,,,Albany,,,Running Backs Coach / Chief of Staff
6,,,Peter Davila,,,,,,Albany,,,Safeties Coach
7,,,Darrin Walls,,,,,,Albany,,,Co-Defensive Coordinator / Cornerbacks Coach
8,,,Jacob Alsadek,,,,,,Albany,,,Offensive Line Coach
9,,,Chris Calabrese,,,,,,Albany,,,Outside Linebackers Coach / Defensive Recruiting Coordinator
10,,,Brendan Smith,,,,,,Albany,,,Tight Ends Coach
11,,,Dion Lewis,,,,,,Albany,,,Assistant Running Backs Coach
12,,,Jon Simmons,,,,,,Albany,,,Director of Football Operations / Video Coordinator
13,,,Jake Kulig,,,,,,Albany,,,Defensive Assistant
14,,,Matt Campion,,,,,,Albany,,,Volunteer Offensive Coach
0,,,Vic Cegles,,,,,,Albany,,,"Deputy Athletic Director, Football Sport Adminstrator"
1,,,Matthew Barber,,,,,,Albany,,,Head Football Strength & Conditioning Coach
2,,,Richard Irving,,,,,,Albany,,,"Assistant Strength and Conditioning Coach (Men's Basketball, Track & Field, Football)"
3,,,Jay Geiger,,,,,,Albany,,,"Head Athletic Trainer (Football, Baseball)"
4,,,Taylor O'Connor,,,,,,Albany,,,"Assistant Director of Digital Content and Communications (FB, MBB, BASE)"
5,,,Josh Morrow,,,,,,Albany,,,Assistant Athletic Director - Head Equipment Manager
