,Statistic,No.,Name,Cl.,Pos.,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Title
105,,63.0,Kyle Yeager,Fy.,DL,6-3,280.0,"Harrisburg, Pa. / Central Dauphin",Sacred Heart,,,
106,,64.0,Jon Mucciolo,Sr.,OL,6-4,300.0,"Mahopac, N.Y. / Archbishop Stepinac",Sacred Heart,,,
107,,65.0,Joe Diemer,Gr.,OL,6-3,290.0,"Gambrills, Md. / Catholic",Sacred Heart,,,
108,,66.0,TJ Roberson,Fy.,OL,6-3,305.0,"Brockton, Mass. / Catholic Memorial",Sacred Heart,,,
109,,67.0,Tim Suk,So.,OL,6-7,270.0,"Flemington, NJ / Hunterdon Central",Sacred Heart,,,
110,,68.0,CJ Williams,Gr.,OL,6-2,275.0,"Princeton, N.J. / The Hun School",Sacred Heart,,,
111,,69.0,Grant Jones,So.,OL,6-2,300.0,"Ridgefield, Conn. / Deerfield Academy",Sacred Heart,Bucknell,,
112,,70.0,Matt Garrett,Fy.,DL,6-2,240.0,"Hyannis, Mass. / St. John Paul II",Sacred Heart,,,
113,,70.0,Stephen Stella,Jr.,OL,6-6,300.0,"Staten Island, N.Y. / Monsignor Farrell",Sacred Heart,,,
114,,71.0,Jake Walton,So.,OL,6-4,290.0,"Coatesville, Pa. / Coatesville",Sacred Heart,,,
115,,72.0,Blaise Heshler,So.,OL,6-5,285.0,"Harrisburg, Pa. / Central Dauphin",Sacred Heart,,,
116,,73.0,Michael Griggs,Gr.,OL,6-4,305.0,"Wall, NJ / Red Bank Catholic",Sacred Heart,Colgate,,
117,,74.0,Ryan Lain,So.,OL,6-3,280.0,"Newtown Square, Pa. / Marple Newtown",Sacred Heart,,,
118,,76.0,Kenan Luchun,Sr.,OL,6-6,275.0,"Virginia Beach, Va. / Landstown",Sacred Heart,,,
119,,77.0,Jordan Griffin,Sr.,OL,6-4,300.0,"Rehobeth, Mass. / LaSalle Academy",Sacred Heart,,,
120,,78.0,Cody Wilson,Jr.,OL,6-6,260.0,"Albion, N.Y. / Albion",Sacred Heart,,,
121,,79.0,Jake Smith,Fy.,OL,6-4,245.0,"Northvale, NJ / Northern Valley Old Tappen",Sacred Heart,,,
122,,80.0,Mike Bevino,Gr.,TE,6-3,230.0,"Milford, Conn. / Deerfield Academy",Sacred Heart,Colgate,,
123,,80.0,Ivan Brito Jr.,Jr.,WR,5-11,190.0,"Paramus, N.Y. / Paramus Catholic",Sacred Heart,,,
124,,81.0,Mike Coffey,So.,TE,6-4,235.0,"Wilton, Conn. / Wilton",Sacred Heart,,,
125,,81.0,Matt LoMonaco,Jr.,WR,5-11,175.0,"Mount Sinai, N.Y. / Mount Sinai",Sacred Heart,,,
126,,82.0,Elijah Ford,Fy.,WR,6-3,185.0,"Coatesville, Pa. / Downingtown West",Sacred Heart,,,
127,,82.0,Paul Ingram,Sr.,TE,6-6,210.0,"Santa Barbara, Calif. / Worcester Academy",Sacred Heart,,,
128,,83.0,Patrick Driscoll,Jr.,TE,6-2,225.0,"Audubon, N.J. / Audubon",Sacred Heart,,,
129,,83.0,Joe Pecora,Sr.,RB,6-2,200.0,"Valhalla, N.Y. / Valhalla",Sacred Heart,,,
130,,84.0,Jon Moccia,Jr.,WR,5-11,195.0,"Collegeville, Pa. / Perkiomen Valley",Sacred Heart,,,
131,,84.0,Colton Nicholas,Sr.,TE,6-2,225.0,"Trumbull, Conn. / Trumbull",Sacred Heart,,,
132,,85.0,Dylan Jones,So.,WR,6-0,180.0,"Nassau, NY / Christian Brothers Academy",Sacred Heart,,,
133,,85.0,Phil Pasmeg,Sr.,TE,6-2,230.0,"Trumbull, Conn. / St. Joseph's",Sacred Heart,,,
134,,86.0,Eli Jordan,So.,WR,6-1,175.0,"Mason, Ohio / Mason",Sacred Heart,,,
135,,86.0,Will Klenk,Fy.,TE,6-4,230.0,"Pittsford, NY / Pittsford Mendon",Sacred Heart,,,
136,,87.0,Maximus Mongelli,So.,DB,6-0,175.0,"Roslyn, NY / Kellenberg Memorial",Sacred Heart,,,
137,,88.0,Garrett Lynn,Gr.,TE,6-5,280.0,"Saco, Maine / Thornton Academy",Sacred Heart,,,
138,,88.0,Dennis Morley,So.,WR,6-2,185.0,"Dix Hills, NY / Commack",Sacred Heart,,,
139,,89.0,Connor Ivey,Fy.,TE,6-6,245.0,"Newton, Conn / IMG Academy (Fla.)",Sacred Heart,,,
140,,90.0,Nick Foglia,Gr.,DL,6-0,300.0,"Whippany, N.J. / Whippany Park",Sacred Heart,Marist,,
141,,91.0,Ron Cole,Fy.,DL,6-2,265.0,"Olney, Md. / Our Lady of Good Counsel",Sacred Heart,,,
142,,91.0,Justin Liebhauser,So.,DL,6-1,285.0,"Randolph, NJ / Randolph",Sacred Heart,,,
143,,92.0,Carson Primrose,Jr.,DL,6-2,280.0,"Pittsburgh, Pa. / North Catholic",Sacred Heart,,,
144,,93.0,Michael Golay,Fy.,DL,6-2,240.0,"Scranton, Pa. / Scranton Prep",Sacred Heart,,,
145,,96.0,Sam Walker,Jr.,DL,6-2,260.0,"Staten Island, N.Y. / Erasmus Hall",Sacred Heart,,,
146,,97.0,Howard Powell,Jr.,DL,5-11,300.0,"Stratford, Conn. / Brunswick School",Sacred Heart,,,
147,,98.0,Kyle Davis,Jr.,DL,6-4,230.0,"Beacon, NY / Beacon",Sacred Heart,,,
0,,,Mark Nofri,,,,,,Sacred Heart,,,Head Coach
1,,,Matt Gardner,,,,,,Sacred Heart,,,Associate Head Coach - Offense/Offensive Coordinator
2,,,Ryan Gunningsmith,,,,,,Sacred Heart,,,Assistant Coach - Run Game Coordinator/Offensive Line
3,,,Pat Saporito,,,,,,Sacred Heart,,,Assistant Coach - Special Teams/Safties/Recruiting Coordinator
4,,,Mark Clements,,,,,,Sacred Heart,,,Assistant Coach - Wide Receivers
5,,,Darin Edwards,,,,,,Sacred Heart,,,Assistant Coach - Defensive Line/Defensive Run Game Coordinator
6,,,Brad Tiernan,,,,,,Sacred Heart,,,Assistant Coach - Tight Ends
7,,,Kevin Duke,,,,,,Sacred Heart,,,Assistant Coach- Outside Linebackers
8,,,Brandon Napoleon,,,,,,Sacred Heart,,,Assistant Coach- Corners
9,,,Isaiah Watson,,,,,,Sacred Heart,,,Assistant Coach - Running Backs
10,,,Chris Fee,,,,,,Sacred Heart,,,"Associate Athletic Director, Head Strength & Conditioning Coach"
11,,,David Havens,,,,,,Sacred Heart,,,Graduate Assistant - Defensive/Football Video Coordinator
12,,,Matt Domejczyk,,,,,,Sacred Heart,,,Graduate Assistant - Offense
13,,,Gianni Occhipinti,,,,,,Sacred Heart,,,Offensive Assistant
