,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown/High School,Current School Name,Previous School,Image,Name,Title
75,,84.0,Parker Perry,WR,6-3,175.0,So.,"Little Rock, Ark. / Parkview Magnet HS",Murray State,,,,
76,,85.0,Eric Ruess,OLB,6-3,229.0,So.,"Festus, Mo. / Festus HS",Murray State,,,,
77,,86.0,Reece Jesse,WR,6-2,208.0,R-Fr.,"Hopkinsville, Ky. / Hopkinsville HS",Murray State,Louisville,,,
78,,87.0,Owen Gish,TE,6-5,226.0,So.,"Kansas City, Mo. / Blue Spring South HS",Murray State,,,,
79,,88.0,Drayton Charlton-Perrin,TE,6-4,225.0,R-So.,"Northbrook, Ill. / Glenbrook North HS",Murray State,Ball St.,,,
80,,89.0,Cole Rusk,TE,6-6,245.0,Jr.,"Rock Island, Ill. / Rock Island HS",Murray State,Eastern Michigan,,,
81,,90.0,Dimonyai Lacey,DL,6-3,288.0,R-Fr.,"Eufaula, Ala. / Eufaula HS",Murray State,,,,
82,,91.0,Colbe Haddox,DL,6-2,295.0,So.,"Chattanooga, Tenn. / Boyd Buchanan HS",Murray State,,,,
83,,93.0,CJ Barnes,DL,6-5,268.0,R-Jr.,"Collierville, Tenn. / Collierville HS",Murray State,,,,
84,,94.0,Japhet Mubenga,DL,6-3,269.0,So.,"Buford, Ga. / Buford HS",Murray State,,,,
85,,95.0,Ebenezer Bedada,DL,6-5,260.0,So.,"Calgary, Alberta, Canada / Clearwater Academy International HS",Murray State,,,,
86,,99.0,Donovan McBride,DL,6-2,318.0,Jr.,"Grain Valley, Mo. / Grain Valley HS",Murray State,,,,
0,,,,,,,,,Murray State,,,Dean Hood,Head Coach
1,,,,,,,,,Murray State,,,Charlie Skalaski,Associate Head Coach (Recruiting Coord./ WR)
2,,,,,,,,,Murray State,,,Ben Hodges,Assistant Coach (Off. Coord./QB)
3,,,,,,,,,Murray State,,,Johnson Richardson,Assistant Coach (Co-Offensive Coord./ OL)
4,,,,,,,,,Murray State,,,Dillon Sanders,Assistant Coach (Def. Coord./ILB)
5,,,,,,,,,Murray State,,,Bruce Tall,Assistant Coach (Co-Defensive Coord./ DL)
6,,,,,,,,,Murray State,,,Chris Cunningham,Assistant Coach (Spec. Tms. Coord./ RB)
7,,,,,,,,,Murray State,,,Yon Boone,Assistant Coach (DB)
8,,,,,,,,,Murray State,,,Cody Gibson,Assistant Coach (TE)
9,,,,,,,,,Murray State,,,Darius Hart,Assistant Coach (OLB)
10,,,,,,,,,Murray State,,,Cameron Haney,Assistant Coach (CB)
11,,,,,,,,,Murray State,,,Josh Medler,Strength & Conditioning Coach
12,,,,,,,,,Murray State,,,Gary Crass,Volunteer Assistant Coach
0,,,,,,,,,Murray State,,,Samantha Shipley,Assistant AD - Football
1,,,,,,,,,Murray State,,,Fulton Hart,Athletic Trainer
2,,,,,,,,,Murray State,,,Peyton Dailey,Coordinator of Football Operations
