,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Exp.,Hometown/Previous School,Image,Title
97,,96.0,Connor Stutz,P,6-2,209.0,So.,1V,"Seattle, Wash. / Bishop Blanchet HS",,
98,,97.0,Geordon Gaspard,WR,5-10,150.0,Fr.,RS,"Inglewood, Calif. / Lawndale HS",,
99,,97.0,Zach Schreiner,K,6-0,165.0,Jr.,,"Rocklin, Calif. / American River JC",,
100,,97.0,Carson Smith,DL,6-4,245.0,Jr.,1V,"Santa Clarita, Calif. / Washington",,
101,,98.0,Jacob Marroquin,K,5-10,165.0,Jr.,,"Corona, Calif. / Riverside JC",,
102,,99.0,Leke Fashola,DL,6-4,258.0,Jr.,2V,"Concord, Calif. / Clayton Valley Charter HS",,
0,,,Andy Thompson,,,,,,,,Head Coach
1,,,Kris Richardson,,,,,,,,Assoc. Head Coach/Offensive Line
2,,,Bobby Fresques,,,,,,,,Assoc. Head Coach/Off. Coordinator/Quarterbacks
3,,,Jeremy LaPan,,,,,,,,Special Teams Coordinator/Tight Ends
4,,,AJ Cooper,,,,,,,,Linebackers
5,,,Kraig Paulson,,,,,,,,Defensive Line
6,,,Allen Perryman,,,,,,,,Safeties
7,,,Tyson Prince,,,,,,,,Wide Receivers/Passing Game Coordinator
8,,,Donnel Pumphrey,,,,,,,,Running Backs
9,,,Jason Slowey,,,,,,,,Edge Rushers
10,,,Cherokee Valeria,,,,,,,,Defensive Passing Game Coordinator/Cornerbacks/Pro Liaison
11,,,Chris Parry,,,,,,,,Director of Recruiting & Player Personnel
12,,,Jeffrey Goldsmith,,,,,,,,Director of Football Operations
13,,,Justin Lantz,,,,,,,,Video Coordinator/Defensive Analyst
14,,,Bill Laslett,,,,,,,,Offensive Analyst
15,,,Eric Adams,,,,,,,,Special Teams Assistant
16,,,Olanda James,,,,,,,,Recruiting Assistant
17,,,Cody Oleski,,,,,,,,Def. Graduate Assistant
18,,,Colton Behrendt,,,,,,,,Student Manager - Defense
19,,,Jaden Diamond,,,,,,,,Student Manager - Recruiting
20,,,Kenny Macklin,,,,,,,,Football Operations Assistant
21,,,Nathan Morris,,,,,,,,Assistant A.D./Sports Performance
0,,,"Matt Davey, MS, ATC",,,,,,,,Head Athletic Trainer
1,,,"Enrique Becerra, MA, ATC",,,,,,,,Assistant Athletic Trainer
2,,,"Danielle Diaz, MS, ATC, CES",,,,,,,,"Assistant Athletic Trainer - fb, sb"
3,,,Brian Berger,,,,,,,,Associate A.D./Communications
4,,,Paul Edwards,,,,,,,,Associate A.D./Student Success
5,,,Jenna Paulk,,,,,,,,Academic Success Specialist
6,,,Lana Brown,,,,,,,,Assistant Director of Strength Conditioning
7,,,Savino Moreno,,,,,,,,Equipment Manager
