,Statistic,#,Full Name,Pos,Ht.,Academic Year,Hometown / High School,Image,Name,Title
19,,26.0,Soren McKee,K/P,5-11,R-Fr.,"Bend, Ore. / Summit HS '22",,,
20,,27.0,DaJean Wells,CB,5-11,R-So.,"Seattle, Wash. / Ballard HS '20",,,
21,,28.0,Drew Carter,S,6-2,R-Fr.,"Lake Stevens, Wash. / Lake Stevens HS '22",,,
22,,29.0,Cage Schenck,CB,5-9,Jr.,"Woodinville, Wash. / Woodinville HS '20",,,
23,,30.0,Talon Betts,RB,6-2,R-Fr.,"Rochester, Wash. / Rochester HS '22",,,
24,,30.0,Joseph Obeto,CB,5-10,R-So.,"Covina, Calif. / Charter Oak HS '21",,,
25,,31.0,Demetrius Crosby Jr.,CB,6-0,R-Sr.,"Tacoma, Wash. / Foss HS '18",,,
26,,32.0,Tuna Altahir,RB,6-0,R-So.,"Kennewick, Wash. / Kamiakin HS '21",,,
27,,33.0,Derek Tommasini,LB,6-0,Jr.,"Eagle, Idaho / Eagle HS '20",,,
28,,34.0,Kentrell Williams Jr.,S,5-10,R-So.,"Chandler, Ariz. / Chandler HS '21",,,
29,,35.0,Woodley Downard,WR,6-1,R-So.,"Kennewick, Wash. / Kamiakin HS '21",,,
30,,35.0,Amani Pressley,CB,6-1,R-Fr.,"Sacramento, Calif. / Inderkum HS '22",,,
31,,36.0,Nick Adimora,RB,5-11,R-Fr.,"Long Beach, Calif. / Mayfair HS '22",,,
32,,36.0,Alphonse Oywak,S,6-1,R-Jr.,"Covington, Wash. / Kentwood HS '20",,,
33,,37.0,Zane Thornton,S,6-0,R-Jr.,"Burien, Wash. / Kennedy Catholic HS '20",,,
34,,38.0,Armani Orange,S,6-0,R-So.,"Moreno Valley, Calif. / Rancho Verde HS '21",,,
35,,39.0,Bishop Blakely,LB,-,R-Fr.,/,,,
36,,39.0,Austin York,TE,6-2,R-Jr.,"Chico, Calif. / Pleasant Valley HS '20",,,
37,,40.0,Amdane Aboudou,CB,-,R-Fr.,/,,,
38,,41.0,Deonte Hayes,CB,-,R-Fr.,/,,,
39,,42.0,Trevion Shadrick-Harris,S,6-1,R-Sr.,"Stockton, Calif. / Sierra College / UCF",,,
40,,43.0,Brandon Montoya,RB,5-10,R-Jr.,"Wishram, Wash. / Lyle/Wishram HS '20",,,
41,,44.0,Brock Harrison,DE,6-3,R-Sr.,"Ridgefield, Wash. / Ridgefield HS '19",,,
42,,45.0,Davante Smith,RB,5-10,R-So.,"Ventura, Calif. / Pacifica HS '21",,,
43,,46.0,Conner O'Farrell,LB,6-0,Jr.,"Anchorage, Alaska / Service HS '20",,,
44,,48.0,Trevor Thurman,LB,6-3,Jr.,"Kenmore, Wash. / Inglemoor HS '20",,,
45,,49.0,Nick Kokich,P,6-2,Sr.,"Tacoma, Wash. / Bellarmine Prep HS '19",,,
46,,52.0,Elijah Rodriguez,LB,6-1,R-Fr.,"Richland, Wash. / Richland HS '22",,,
47,,53.0,Shane Aleaga,LB,6-1,R-So.,"Burien, Wash. / Kennedy Catholic HS '21",,,
48,,54.0,Jaren Banks,LB,6-0,R-Sr.,"Junction City, Ore. / Sheldon HS '18",,,
49,,56.0,Mason Buttel-Strong,OL,6-4,Jr.,"Hauula, Hawaii / Green Valley HS / Butte College",,,
50,,57.0,Luke Dahlgren,OL,6-3,R-Sr.,"Forks, Wash. / Forks HS '19",,,
51,,58.0,Ahmani Williams,LB,6-0,R-Jr.,"Vancouver, Wash. / Skyview HS '20",,,
52,,59.0,Robert Cooper,OL,6-3,R-Jr.,"Spanaway, Wash. / Bethel HS '20 / Boise State",,,
53,,59.0,Myles Mayovsky,LB,6-1,R-Fr.,"Kennewick, Wash. / Kennewick HS '22",,,
54,,60.0,Jackson Plieth,LS,6-0,R-Fr.,"Vancouver, Wash. / Union HS '22",,,
55,,61.0,Wyatt Hansen,OL,6-5,Jr.,"Kent, Wash. / Kentwood HS '20",,,
56,,62.0,Aaron Estrada,LS,5-11,R-Jr.,"Strathmore, Calif. / Strathmore HS '20",,,
57,,63.0,Mason Ahlemeyer,DT,6-3,Fr.,"Sammamish, Wash. / Skyline HS / Sacramento City College",,,
58,,64.0,Brenden Rivera,OL,6-2,Jr.,"Gig Harbor, Wash. / Gig Harbor HS '20",,,
59,,65.0,Ben Voigtlaender,DE,6-3,R-Fr.,"Spokane, Wash. / Mead HS '20",,,
60,,66.0,Gale Kamp,OL,6-3,R-Jr.,"North Bend, Wash. / Mount Si HS '20",,,
61,,68.0,Seth Carnahan,OL,6-6,R-Sr.,"Sumner, Wash. / Sumner HS '17",,,
62,,70.0,Matthew Hewa Baddege,OL,6-7,R-Sr.,"Port Coquitlam, B.C. / Terry Fox Secondary '19",,,
63,,74.0,Bret Fullington,OL,6-6,R-Fr.,"Issaquah, Wash. / Liberty HS '22",,,
64,,75.0,Jack Seelye,OL,6-1,Jr.,"Walnut Creek, Calif. / Liberty HS / Diablo Valley College",,,
65,,76.0,Kevin Eldredge,OL,6-5,R-Sr.,"Meridian, Idaho / Mountain View HS / Idaho",,,
66,,78.0,Justis La'ulu,OL,6-3,R-Fr.,American Samoa / Vista Ridga (Colo.) HS '22,,,
67,,79.0,Dylan Conner,OL,6-5,R-Fr.,"Orange, Calif. / El Modena HS '22",,,
68,,80.0,Messiah Jones,TE,6-6,R-So.,"Kennewick, Wash. / Kamiakin HS '21",,,
69,,81.0,Riley Rudolfo,WR,-,Jr.,/,,,
70,,82.0,Blake Gobel,TE,6-6,R-Sr.,"Banks, Ore. / Banks HS '19",,,
71,,83.0,JP Murphy,TE,6-4,R-So.,"Danville, Calif. / San Ramon Valley HS / San Diego State",,,
72,,85.0,Jett Carpenter,TE,6-4,R-Jr.,"Medford, Ore. / North Medford HS '20",,,
73,,87.0,Malaki Roberson,WR,5-10,R-So.,"Graham, Wash. / Graham-Kapowsin HS '20",,,
74,,88.0,Isaiah Howard,WR,6-2,R-So.,"Fresno, Calif. / Clovis West HS '21",,,
75,,89.0,Efton Chism III,WR,6-0,Jr.,"Monroe, Wash. / Monroe HS '20",,,
76,,90.0,Matthew Brown,DT,6-2,Jr.,"Hoquiam, Wash. / Hoquiam HS '20",,,
77,,92.0,Chris Johnson,TE,6-4,R-Sr.,"Sammamish, Wash. / Skyline HS '19",,,
78,,94.0,Jacolby Cochran,WR,-,R-Fr.,/,,,
79,,94.0,Sandrey Mitberg,DE,6-3,R-Jr.,"Beaverton, Ore. / Beaverton HS '20",,,
80,,95.0,Gabriel Johnson,DE,6-4,R-So.,"Bothell, Wash. / Bothell HS '21",,,
81,,95.0,Jordan Sands,WR,6-3,R-Fr.,"Mead, Wash. / Mt. Spokane HS '22",,,
82,,96.0,Jacob Newsom,DT,6-3,R-Sr.,"Colville, Wash. / Colville HS '19",,,
83,,97.0,Tariq May,TE,6-3,R-Fr.,"Baltimore, M.D. / Bellarmine Prep (Wash.) '22",,,
0,,,,,,,,,Aaron Best,Head Coach
1,,,,,,,,,Jim Chapin,Offensive Coordinator / Quarterbacks Coach
2,,,,,,,,,Jeff Copp,Defensive Coordinator
3,,,,,,,,,Marc Anderson,Associate Head Coach / Tight Ends / Recruiting Coordinator
4,,,,,,,,,Zach Bruce,Safeties Coach
5,,,,,,,,,Brandon Johnson-Farrell,Running Backs Coach
6,,,,,,,,,Hayden Mace,Offensive Line Coach
7,,,,,,,,,Jeff McDaniels,Wide Receivers Coach
8,,,,,,,,,Wes Nurse,Cornerbacks Coach
9,,,,,,,,,Eric Sanders,Linebackers Coach
10,,,,,,,,,Matt Ulrich,Defensive Line Coach
0,,,,,,,,,Ryan Groneman,Director of Athletic Performance (Football)
1,,,,,,,,,Jake Rasmussen,Director of Football Operations
