,Statistic,#,Image,Full Name,Pos.,Ht.,Wt.,CL.,Hometown,Previous School,Name,Title
59,,58.0,,Tray Franklin,OL,6-6,335.0,Fr.,"Columbia,?SC",Ridge View HS,,
60,,61.0,,Lee Davis,OL,6-1,320.0,Fr.,"Hopkins, SC",,,
61,,62.0,,Chandler Muller,OL,6-2,338.0,So.,"Columbia, SC",Ridge View HS,,
62,,65.0,,Brandon Tucker,DL,6-2,285.0,Jr.,"Columbia, SC",Blythewood HS,,
63,,68.0,,Eli Young,OL,6-4,330.0,R-So.,"Hopkins, SC",,,
64,,70.0,,Alfred Williams,OL,6-5,314.0,R-So.,"Rock Hill, SC",South Pointe HS,,
65,,71.0,,Chris Simon,OL,6-4,300.0,R-Sr.,"Dalzell, SC","Dalzell, SC",,
66,,72.0,,Ian Shark,OL,6-3,325.0,R-Fr.,"Walterboro, SC",Collenton County,,
67,,73.0,,Cam Johnson,OL,6-2,285.0,R-So.,"Irmo, SC",Dutch Fork HS,,
68,,74.0,,Wheslen McCleod,OL,6-2,319.0,R-So.,"West Columbia, SC",Grey Collegiate,,
69,,76.0,,"Eric Brown, Jr.",OL,6-3,320.0,So.,"Hartsville, SC",Hartsville HS,,
70,,77.0,,Dallas Foard,OL,6-4,300.0,Jr.,"Concord, NC",Central Cabarrus,,
71,,78.0,,Nick Taiste,OL,6-1,295.0,So.,"West Columbia, SC",White Knoll HS,,
72,,80.0,,Justin Williams,WR,-,,Fr.,,,,
73,,81.0,,Jordan Springs,TE,6-2,237.0,R-Jr.,"Irmo, SC",Dutch Fork HS,,
74,,82.0,,Treyvion Houston,WR,6-2,190.0,So.,Milledgeville,Georgia Military,,
75,,83.0,,Shamontae Burgess,WR,5-10,175.0,Fr.,"Lake City,?SC",Lake City HS,,
76,,84.0,,Jakari Williams,WR,-,,Fr.,"Jacksonville, FLA",,,
77,,85.0,,Justin Smith-Brown,WR,6-1,190.0,So.,"Coco, FLA",,,
78,,86.0,,Richard Bailey,WR,5-10,148.0,Gr.,"Hollywood, SC",Baptist Hill HS,,
79,,87.0,,Hezekiah Massey,WR,6-2,190.0,So.,"Clover, SC",Clover HS,,
80,,88.0,,Carus Epps,DL,6-4,250.0,Fr.,"Seabrook, SC",Whale Branch HS,,
