,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,High School (Prev. School),2022-23 Football Coaches,2022-23 Football Coaches.1
71,51,Matthew Francisco,DL,6-1,215.0,Fr.,"Bolingbrook, Ill.",Bolingbrook,,
72,52,Danny Files,OL,6-3,300.0,R-Jr.,"Lake Orion, Mich.",Cranbrook-Kingswood,,
73,53,Christian Hilton,DL,6-1,220.0,Fr.,"Fairfax, Va.",Woodson,,
74,54,Amar Elmore,DL,5-11,250.0,Fr.,"Chandler, Ariz.",Chandler,,
75,55,Brett Gray,OL,6-4,280.0,R-Fr.,"Vancouver, Wash.",Skyview,,
76,56,Fletcher Christian,DL,6-4,235.0,R-Sr.,"San Diego, Calif.",Helix,,
77,57,Chase Folkestad,DL,6-2,220.0,R-So.,"Glendale, Ariz.",Sandra Day O'Connor,,
78,58,James Doerer,LB,6-1,230.0,R-So.,"Grosse Pointe, Mich.",Grosse Pointe South,,
79,59,Dawson Rye,DL,6-0,235.0,Fr.,"Hoover, Ala.",Hoover (East Coast Prep),,
80,60,Tyler Eberhart,OL,6-1,280.0,Jr.,"Barberton, Ohio",Barberton,,
81,62,Carter Woody,OL,6-4,300.0,Jr.,"Fort Mill, S.C.",Charlotte Catholic,,
82,63,Daniel Ojaide,OL,5-11,280.0,R-Fr.,"Charlotte, N.C.",North Mecklenburg,,
83,64,Ryan Merklinger,OL,6-5,315.0,R-Fr.,"Savannah, Ga.",Calvary Day,,
84,65,Mason Smith,OL,6-2,300.0,Fr.,"Hershey, Pa.",Martin County,,
85,68,Aaron Byrd,OL,6-4,300.0,R-Sr.,"Bradley, Ill.",Bourbonnais,,
86,69,Stone Dixon,OL,6-3,270.0,R-Jr.,"Cincinnati, Ohio",Moeller,,
87,70,Clayton Fliss,OL,6-5,250.0,Fr.,"Oconomowoc, Wis.",Oconomowoc,,
88,72,Drew Parrish,OL,6-4,285.0,R-Jr.,"New Lenox, Ill.",Lincoln Way Central,,
89,73,Bryce Koteles,OL,6-0,285.0,Fr.,"Shelby Township, Mich.",Utica,,
90,75,Gabe Watkins-Daigle,OL,6-0,280.0,Fr.,"Sahuarita, Ariz.",Walden Grove,,
91,78,Keith Szczepanski,OL,6-7,325.0,R-So.,"Batavia, N.Y.",Batavia Notre Dame,,
92,79,Andrew Covert,OL,6-7,345.0,R-So.,"Dexter, Mich.",Father Gabriel Richard,,
93,81,Max Carter,TE,6-5,250.0,Fr.,"Camarillo, Calif.",Adolfo Camarillo,,
94,82,Alex Conlin,TE,6-2,230.0,R-Jr.,"Louisville, Ky.",duPont Manual,,
95,83,Jalen Jones,TE,6-1,240.0,So.,"North Brunswick, N.J.",St. Thomas Aquinas (Lincoln),,
96,84,Jacob Stewart,WR,6-2,175.0,Fr.,"Brooklyn, N.Y.",St. Joseph by the Sea,,
97,85,Gavin Hooper,TE,6-3,235.0,R-Fr.,"Menifee, Calif.",Heritage,,
98,86,Andre Tarver Jr.,RB,5-7,180.0,Fr.,"Kalamazoo, Mich.",Kalamazoo Central,,
99,87-S,Brian Bartholomew,K,5-11,165.0,R-Sr.,"Sugar Grove, Ill.",Kaneland,,
100,87-O,Evan Jernegan,TE,6-1,225.0,R-Fr.,"Altadena, Calif.",St. Francis,,
101,88-O,Brian Hunter III,WR,5-9,145.0,R-Fr.,"Kentwood, Mich.",Grand Rapids Christian,,
102,88-D,George Dristiliaris,DL,6-3,230.0,R-Fr.,"Lowell, Mass.",Lowell,,
103,89,Jake Vickers,TE,6-3,255.0,R-So.,"Canton, Mich.",Canton,,
104,90,Sam Hafner,DL,6-2,260.0,R-So.,"Green Bay, Wis.",De Pere,,
105,91,Kevin Spelman,DL,6-5,255.0,R-Fr.,"New Lenox, Ill.",Providence Catholic,,
106,92,Jason Harden,DL,6-0,215.0,Fr.,"Chula Vista, Calif.",Mater Dei Catholic,,
107,93,Kurt Kessen,DL,6-4,265.0,Jr.,"Shelby Township, Mich.",Utica,,
108,95,Jake Paulline,DL,6-1,290.0,Fr.,"Naperville, Ill.",Metea Valley,,
109,96,Logan Chastain,DL,6-1,285.0,Fr.,"Clackamas, Ore.",Clackamas,,
110,97,George Trojanek,DL,6-1,265.0,R-Fr.,"Carpentersville, Ill.",IMG Academy,,
111,98,Adrian Divcic,DL,6-3,265.0,Fr.,"Trinity, Fla.",J.W. Mitchell,,
112,99-D,Chase Randall,DL,6-2,265.0,Fr.,"Tucson, Ariz.",Canyon Del Oro,,
113,99-S,Ryan Hawk,K,5-10,165.0,R-Fr.,"Columbus, Ohio",Bishop Hartley,,
0,,,,,,,,,Landon Fox,Head Coach
1,,,,,,,,,Will Fleming,Offensive Coordinator
2,,,,,,,,,Brian Dougherty,Defensive Coordinator/Safeties Coach
3,,,,,,,,,RJ Ghilarducci,Defensive Line Coach
4,,,,,,,,,Pat Denecke,Offensive Line Coach
5,,,,,,,,,Tim Smith,Wide Receivers Coach
6,,,,,,,,,Will Johnson,Running Backs Coach
7,,,,,,,,,Spencer Duncan,Tight Ends Coach
8,,,,,,,,,Andrew Lutgens,Linebackers Coach
9,,,,,,,,,Vernell Price,Defensive Tackles Coach
10,,,,,,,,,Yoni Offit,Nickelbacks Coach
11,,,,,,,,,Madison Soliday,Director of Football Operations
12,,,,,,,,,Gabe Miller,Associate Director of Sports Performance
13,,,,,,,,,"Nicole Mioduski, ATC, LAT",Assistant Athletic Trainer
14,,,,,,,,,"Justin Works, ATC, LAT",Assistant Athletic Trainer
15,,,,,,,,,Sarah Hacker,Student Manager
16,,,,,,,,,Aidan Ross,Student Manager
